FirstName,LastName,AccountName,Email,Phone
Rahul,Kumar,abc,rahul.batch@gmail.com,1234567
Sonu,Singh,zyx,sonu.batch@gmail.com,9876542
Monu,Chauhan,asd,monu.batch@gmail.com,9890234
Sohan,Pal,xyz,sohan.batch@gmail.com,9872834
Ram,Sharma,qwe,ram.batch@gmail.com,2309874
Shyam,Saxena,rty,shyam.batch@gmail.com,1298745
Smith,Verma,tgf,smith.batch@gmail.com,7689654
Adam,Tyagi,cdf,adam.batch@gmail.com,6754329
Paul,Jatt,nmj,paul.batch@gmail.com,4532980
King,Khan,lkj,king.batch@gmail.com,1209873
Anil,Chattarjee,poi,anil.batch@gmail.com,2134876
Rohit,Sable,dfg,rohit.batch@gmail.com,1276346
